model,context_window,F1_weighted,F1_macro,top3_accuracy
DeepSeek,11,0.05982222222222222,0.015407407407407408,0.58
DeepSeek,22,0.13236363636363635,0.02659090909090909,0.6
DeepSeek,33,0.08703441295546557,0.08526561158140106,0.64
Qwen3.0,11,0.03763452412928642,0.036726654131972424,0.62
Qwen3.0,22,0.03993846153846154,0.013025641025641027,0.58
Qwen3.0,33,0.06079391891891892,0.033323095823095825,0.58
QwQ-32B,11,0.009440860215053764,0.025567502986857824,0.48
QwQ-32B,22,0.013777239709443098,0.025313669381465995,0.48
QwQ-32B,33,0.018555555555555558,0.07492063492063492,0.53
