model,context_window,F1_weighted,F1_macro,top3_accuracy
DeepSeek,11,0.068992784992785,0.04546766364948183,0.66
DeepSeek,22,0.1155052692144631,0.04443653725798962,0.69
DeepSeek,33,0.043830565719110606,0.017206116896519373,0.71
Qwen3-32B,11,0.010533333333333332,0.036,0.69
Qwen3-32B,22,0.013143225957871265,0.031708032623364434,0.76
Qwen3-32B,33,0.023759408087766297,0.02948080112259217,0.71
QwQ-32B,11,0.022222222222222223,0.08818342151675485,0.5
QwQ-32B,22,0.017719298245614034,0.04223521767381416,0.6
QwQ-32B,33,0.017179487179487182,0.06025641025641025,0.56
